test/mean_Q,train/episode,stats_o/mean,train/success_rate,stats_o/std,stats_g/mean,test/episode,train/mean_Q,stats_g/std,test/success_rate,epoch
-6.727098,18800.0,0.20356648,0.45,0.11858764,0.842083,3760.0,-9.64254,0.1004523,0.65,187
-7.6600394,18900.0,0.20357983,0.45,0.118662834,0.84216505,3780.0,-10.168755,0.10046864,0.45,188
-4.4387655,19000.0,0.20357668,0.38,0.118718825,0.8422203,3800.0,-11.387612,0.100509614,0.65,189
-6.6871843,19100.0,0.2035904,0.52,0.11877519,0.8423033,3820.0,-9.136576,0.10048155,0.4,190
-4.3578687,19200.0,0.20365147,0.45,0.11890881,0.84238464,3840.0,-10.349636,0.1005679,0.75,191
-3.9282088,19300.0,0.20365942,0.44,0.11895419,0.84240586,3860.0,-12.397086,0.10068127,0.8,192
-8.253477,19400.0,0.20367806,0.48,0.11905155,0.8424478,3880.0,-10.948852,0.10079036,0.65,193
-4.68269,19500.0,0.20367357,0.52,0.11915868,0.84254843,3900.0,-9.707654,0.10090498,0.7,194
-8.459017,19600.0,0.20369156,0.5,0.119194485,0.84264183,3920.0,-9.245788,0.10094275,0.55,195
-3.4894052,19700.0,0.2037021,0.44,0.119320564,0.8427072,3940.0,-10.703717,0.10106639,0.7,196
-3.542125,19800.0,0.20370188,0.44,0.11945165,0.8427718,3960.0,-9.059569,0.10107099,0.85,197
-7.3938117,19900.0,0.20371057,0.54,0.11948304,0.8428486,3980.0,-8.7969675,0.10111215,0.45,198
-5.4895062,20000.0,0.20374241,0.47,0.11953091,0.8428898,4000.0,-10.07024,0.10117025,0.55,199
